Код,Группа,Наименование,Стоимость услуги,Наименование лаборатории,Дата
300223,Обследование в период реабилитации после перенесенной коронавирусной инфекции COVID-19,Обследование в период реабилитации после перенесенной коронавирусной инфекции COVID-19 (минимальный перечень),2 095 р.,CMD,17.12.2023
300045,Профилактическое обследование,Лабораторное обследование,4 410 р.,CMD,17.12.2023
300133,Профилактическое обследование,Биохимическое обследование,3 120 р.,CMD,17.12.2023
300091,Профилактическое обследование,Биохимическое обследование (стандартное),2 050 р.,CMD,17.12.2023
300006,Диагностика заболеваний системы свертывания крови,Система гемостаза (скрининг),1 560 р.,CMD,17.12.2023
300104,Диагностика функции щитовидной железы,Диагностика функции щитовидной железы (мониторинг терапии),980 р.,CMD,17.12.2023
300005,Диагностика функции щитовидной железы,Диагностика функции щитовидной железы (расширенная),2 705 р.,CMD,17.12.2023
300103,Диагностика функции щитовидной железы,Диагностика функции щитовидной железы (скрининг),1 470 р.,CMD,17.12.2023
300106,Оценка гормонального статуса,Гиперандрогения (у женщин),2 803 р.,CMD,17.12.2023
300105,Оценка гормонального статуса,Гормональный статус (в менопаузе),2 546 р.,CMD,17.12.2023
300013,Оценка гормонального статуса,Гормональный статус (мужской),2 171 р.,CMD,17.12.2023
300014,Оценка гормонального статуса,Гормональный статус (женский),3 349 р.,CMD,17.12.2023
300132,Оценка гормонального статуса,Гормональный статус женский (включает прогестерон),3 724 р.,CMD,17.12.2023
300261,Планирование беременности,Будущая мама. Планирование беременности,9 149 р.,CMD,17.12.2023
300107,Планирование беременности,Серологическая диагностика TORCH-инфекций (скрининг),2 440 р.,CMD,17.12.2023
300123,Планирование беременности,Будущий папа,3 425 р.,CMD,17.12.2023
300157,Планирование беременности,Серологическая диагностика TORCH-инфекций (стандартная),4 805 р.,CMD,17.12.2023
300109,Обследование беременных,"Лабораторное обследование беременных в I, III триместрах и при постановке на учет на любом сроке",8 735 р.,CMD,17.12.2023
300112,Обследование беременных,Урогенитальные инфекции у беременных (расширенное обследование),3 772 р.,CMD,17.12.2023
300273,Пренатальный скрининг,"Пренатальный скрининг I триместра с расчетом рисков в программе Astraia (свободный b-ХГЧ, PAPP-A, PlGF)",4 900 р.,CMD,17.12.2023
300272,Пренатальный скрининг,"Пренатальный скрининг I триместра с расчетом рисков в программе Astraia (свободный b-ХГЧ, PAPP-A)",3 250 р.,CMD,17.12.2023
300137,Пренатальный скрининг,"Пренатальный биохимический скрининг I триместра беременности, без расчета риска (для внесения в программу Astraia)",4 370 р.,CMD,17.12.2023
300088,Пренатальный скрининг,"Расчет риска ранней и поздней преэклампсии, программа LifeCycle (DELFIA), I триместр",4 440 р.,CMD,17.12.2023
300155,Пренатальный скрининг,"Пренатальный скрининг I триместра беременности, расчет риска хромосомных аномалий плода, программа PRISCA (IMMULITE)",2 050 р.,CMD,17.12.2023
300089,Пренатальный скрининг,"Пренатальный скрининг I триместра с расчетом риска преэклампсии, программа LifeCycle (DELFIA)",4 920 р.,CMD,17.12.2023
300024,Пренатальный скрининг,"Пренатальный скрининг II триместра беременности, расчет риска хромосомных аномалий плода, программа LifeCycle (DELFIA)",2 185 р.,CMD,17.12.2023
300023,Пренатальный скрининг,"Пренатальный скрининг I триместра беременности, расчет риска хромосомных аномалий плода, программа LifeCycle (DELFIA)",1 860 р.,CMD,17.12.2023
310011,Обследование мужчин. Андрофлор – оценка микрофлоры урогенитального тракта мужчин,Исследование микрофлоры урогенитального тракта мужчин Андрофлор,2 520 р.,CMD,17.12.2023
310010,Обследование мужчин. Андрофлор – оценка микрофлоры урогенитального тракта мужчин,Исследование микрофлоры урогенитального тракта мужчин Андрофлор Скрин,1 990 р.,CMD,17.12.2023
300260,Диагностика урогенитальных инфекций,Программа Оптимум (17),3 574 р.,CMD,17.12.2023
300058,Диагностика урогенитальных инфекций,Программа Премиум (15),3 506 р.,CMD,17.12.2023
300057,Диагностика урогенитальных инфекций,Программа Максимум (12),2 940 р.,CMD,17.12.2023
300056,Диагностика урогенитальных инфекций,Программа Медиум (9),2 455 р.,CMD,17.12.2023
300055,Диагностика урогенитальных инфекций,Программа Минимум (7),1 910 р.,CMD,17.12.2023
300263,Диагностика заболеваний крови (анемии),Диагностика анемий,3 390 р.,CMD,17.12.2023
300093,Диагностика заболеваний крови (анемии),Диагностика железодефицитной анемии (мониторинг терапии),1 830 р.,CMD,17.12.2023
300021,Диагностика заболеваний желудка,Гастропанель,7 380 р.,CMD,17.12.2023
300020,Диагностика заболеваний желудка,Гастропанель (скрининг),5 700 р.,CMD,17.12.2023
300009,Диагностика заболеваний печени,Обследование перед вакцинацией против гепатитов А и В,1 772 р.,CMD,17.12.2023
300010,Диагностика заболеваний печени,Первичная диагностика гепатитов,3 349 р.,CMD,17.12.2023
300012,Диагностика заболеваний печени,Диагностика функции печени,1 753 р.,CMD,17.12.2023
300027,Диагностика заболеваний почек,Диагностика заболеваний почек,2 525 р.,CMD,17.12.2023
300063,Диагностика рисков развития онкологических заболеваний,Индекс ROMA. Риск обнаружения эпителиальной карциномы яичников в постменопаузе,2 360 р.,CMD,17.12.2023
300062,Диагностика рисков развития онкологических заболеваний,Индекс ROMA. Риск обнаружения эпителиальной карциномы яичников в пременопаузе,2 360 р.,CMD,17.12.2023
300080,"Диагностика углеводного обмена (сахарный диабет, метаболический синдром)",Сахарный диабет - контроль лечения (ежегодный) часть I,4 802 р.,CMD,17.12.2023
300085,"Диагностика углеводного обмена (сахарный диабет, метаболический синдром)",Метаболический синдром - первичная диагностика (с 18 лет),1 170 р.,CMD,17.12.2023
300086,"Диагностика углеводного обмена (сахарный диабет, метаболический синдром)",Метаболический синдром у детей и подростков - первичная диагностика (10-17 лет),1 170 р.,CMD,17.12.2023
300087,"Диагностика углеводного обмена (сахарный диабет, метаболический синдром)",Постпрандиальная глюкоза (через 2 часа после еды),280 р.,CMD,17.12.2023
300081,"Диагностика углеводного обмена (сахарный диабет, метаболический синдром)",Сахарный диабет - контроль лечения (ежегодный) часть II,800 р.,CMD,17.12.2023
300082,"Диагностика углеводного обмена (сахарный диабет, метаболический синдром)",Дифференциальная диагностика форм сахарного диабета,3 070 р.,CMD,17.12.2023
300084,"Диагностика углеводного обмена (сахарный диабет, метаболический синдром)",Лишний вес (с 18 лет),5 733 р.,CMD,17.12.2023
300079,"Диагностика углеводного обмена (сахарный диабет, метаболический синдром)",Сахарный диабет - контроль лечения (ежеквартальный),946 р.,CMD,17.12.2023
300083,"Диагностика углеводного обмена (сахарный диабет, метаболический синдром)",Инсулинорезистентность. Индекс HOMA,920 р.,CMD,17.12.2023
300097,Диагностика аутоиммунных заболеваний,Системная красная волчанка (мониторинг активности),2 390 р.,CMD,17.12.2023
300025,Диагностика аутоиммунных заболеваний,Диагностика патологии соединительной ткани,5 315 р.,CMD,17.12.2023
300099,Диагностика аутоиммунных заболеваний,"Диагностика целиакии, непереносимость глютена (расширенная)",5 190 р.,CMD,17.12.2023
300100,Диагностика аутоиммунных заболеваний,Диагностика ревматоидного артрита,5 130 р.,CMD,17.12.2023
300096,Диагностика аутоиммунных заболеваний,Диагностика системной красной волчанки,4 520 р.,CMD,17.12.2023
300098,Диагностика аутоиммунных заболеваний,"Диагностика целиакии, непереносимость глютена (скрининг)",2 835 р.,CMD,17.12.2023
300131,Диагностика аутоиммунных заболеваний,Дифференциальная диагностика суставного синдрома,3 515 р.,CMD,17.12.2023
300065,Диагностика аутоиммунных заболеваний,Диагностика антифосфолипидного синдрома (скрининг),5 975 р.,CMD,17.12.2023
300029,Диагностика заболеваний опорно-двигательного аппарата,Диагностика остеопороза,6 930 р.,CMD,17.12.2023
300069,Диагностика паразитарных заболеваний,Серологическая диагностика паразитарных заболеваний,4 432 р.,CMD,17.12.2023
300052,Диагностика клещевых инфекций,Диагностика боррелиоза и клещевого энцефалита,2 920 р.,CMD,17.12.2023
300251,Диагностика резистентности ВИЧ к антиретровирусным препаратам,Количественное определение РНК HIV-1 и мутации резистентности ВИЧ к ингибиторам интегразы,27 590 р.,CMD,17.12.2023
300250,Диагностика резистентности ВИЧ к антиретровирусным препаратам,Количественное определение РНК HIV-1 и мутации резистентности ВИЧ к ингибиторам протеазы и обратной транскриптазы,25 450 р.,CMD,17.12.2023
300171,Обследование детей,"Здоровый ребенок (скрининг, капиллярная кровь)",1 580 р.,CMD,17.12.2023
300170,Обследование детей,Кроха (капиллярная кровь),965 р.,CMD,17.12.2023
300122,Обследование детей,Обследование перед посещением бассейна,620 р.,CMD,17.12.2023
300121,Обследование детей,"Подросток (расширенная, 15-18 лет)",8 317 р.,CMD,17.12.2023
300120,Обследование детей,"Подросток (ежегодное обследование, 15-18 лет)",1 595 р.,CMD,17.12.2023
300117,Обследование детей,Эффективность вакцинации (дети 1-14 лет),5 335 р.,CMD,17.12.2023
300116,Обследование детей,Обследование перед вакцинацией (дети 0-14 лет),1 160 р.,CMD,17.12.2023
300036,Обследование детей,Здоровый ребенок (расширенная программа),8 911 р.,CMD,17.12.2023
300035,Обследование детей,Здоровый ребенок. Анализы для справки 079/у,1 535 р.,CMD,17.12.2023
300037,Обследование детей,Часто болеющий ребенок (с затяжным кашлем),3 915 р.,CMD,17.12.2023
300034,Обследование детей,Кроха,915 р.,CMD,17.12.2023
300264,Диагностика обследования семейного персонала,Няня. Обследование персонала,5 767 р.,CMD,17.12.2023
300262,Здоровье и красота,"Здоровье кожи, волос и ногтей",5 235 р.,CMD,17.12.2023
300147,Здоровье и красота,Формула стройности,11 756 р.,CMD,17.12.2023
300144,Премиум-класс,Премиум-класс (для мужчин 30+),40 256 р.,CMD,17.12.2023
300143,Премиум-класс,Интимное здоровье женщины,8 555 р.,CMD,17.12.2023
300142,Премиум-класс,Премиум-класс (для женщин 30+) - I,45 372 р.,CMD,17.12.2023
151001,Общий IgE и ECP,Микроскопическое исследование на эозинофилы,580 р.,CMD,17.12.2023
151000,Общий IgE и ECP,Эозинофильный катионный белок,1 100 р.,CMD,17.12.2023
130003,Общий IgE и ECP,Иммуноглобулин Е,665 р.,CMD,17.12.2023
150017,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов позднецветущих деревьев (клен ясенелистный, береза бородавчатая, дуб, бук крупнолистный, грецкий орех)",1 595 р.,CMD,17.12.2023
150016,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов раннецветущих деревьев (ольха серая, лещина, вяз, ива, тополь)",1 595 р.,CMD,17.12.2023
150015,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов растений (амброзия высокая, полынь обыкновенная, нивяник, одуванчик, золотарник)",1 595 р.,CMD,17.12.2023
150013,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов трав №4 (колосок душистый, плевел, тростник обыкновенный, рожь посевная, бухарник шерстистый)",1 595 р.,CMD,17.12.2023
150012,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов трав №3 (колосок душистый, плевел, тимофеевка луговая, рожь посевная, бухарник шерстистый)",1 595 р.,CMD,17.12.2023
150011,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов трав №2 (свинорой пальчатый, плевел, тимофеевка луговая, мятлик луговой, гречка заметная, сорго)",1 595 р.,CMD,17.12.2023
150010,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов трав №1 (ежа сборная, овсяница луговая, рожь многолетняя (плевел), тимофеевка, мятлик луговой)",1 595 р.,CMD,17.12.2023
150009,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов смеси перьев птиц (перо волнистого попугая / Melopsittacus undulates, перо попугая / Psittacidae spp., перо канарейки / Serinus canaries)",1 595 р.,CMD,17.12.2023
150008,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов микроскопических грибов (Aspergillus fumigatus, Alternaria tenuis, Cladosporium herbarum, Penicillium notatum, Candida albicans)",1 595 р.,CMD,17.12.2023
150007,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг аллергенов постельного пера (перо гуся, перо курицы, перо утки, перо индюка)",1 595 р.,CMD,17.12.2023
150006,"Скрининг ингаляционных аллергенов, определение специфических IgE","Скрининг бытовых аллергенов (домашняя пыль h1, D.pteronyssinus, D.farinae, таракан)",1 595 р.,CMD,17.12.2023
150119,"Скрининг пищевых аллергенов, определение специфических IgE","Детская пищевая панель №2 (треска, пшеница, соя, фундук)",1 595 р.,CMD,17.12.2023
150118,"Скрининг пищевых аллергенов, определение специфических IgE","Детская пищевая панель №1 (яичный белок, коровье молоко, пшеница, треска, арахис, соя)",1 595 р.,CMD,17.12.2023
150116,"Скрининг пищевых аллергенов, определение специфических IgE","Мясо (свинина, говядина, курятина, баранина)",1 595 р.,CMD,17.12.2023
150115,"Скрининг пищевых аллергенов, определение специфических IgE","Овощи (помидор, шпинат, капуста, красный перец)",1 595 р.,CMD,17.12.2023
150114,"Скрининг пищевых аллергенов, определение специфических IgE","Рыба (треска, креветки, синяя мидия, тунец, лосось)",1 595 р.,CMD,17.12.2023
150113,"Скрининг пищевых аллергенов, определение специфических IgE","Орехи (арахис, фундук, американский орех, миндаль, кокосовый орех)",1 595 р.,CMD,17.12.2023
150106,"Скрининг пищевых аллергенов, определение специфических IgE","Фрукты (банан, апельсин, яблоко, персик)",1 595 р.,CMD,17.12.2023
150402,"Профессиональные аллергены, определение специфических IgE",Формальдегид/формалин,750 р.,CMD,17.12.2023
150401,"Профессиональные аллергены, определение специфических IgE",Латекс,750 р.,CMD,17.12.2023
150503,"Гельминты, определение специфических IgE",Анизакида,750 р.,CMD,17.12.2023
150501,"Гельминты, определение специфических IgE",Аскарида,750 р.,CMD,17.12.2023
150618,"Аллергены лекарств, определение специфических IgE","Прокаин (Новокаин, Нивокаин буфус, Новокаин-Виал)",850 р.,CMD,17.12.2023
150617,"Аллергены лекарств, определение специфических IgE","Лидокаин (Ксилокаин, Версатис, Геликаин, Динексан, Ликаин, Луан)",850 р.,CMD,17.12.2023
150610,"Аллергены лекарств, определение специфических IgE",Мепивакаин/полокаин + эпинефрин (адреналин) (скандинибса форте),1 507 р.,CMD,17.12.2023
150609,"Аллергены лекарств, определение специфических IgE","Артикаин/ультракаин + эпинефрин (адреналин) (альфакаин, артифрин, брилокаин-адреналин, примакаин с адреналином, убистезин форте, септанест с адреналином, цитокартин)",1 507 р.,CMD,17.12.2023
150608,"Аллергены лекарств, определение специфических IgE","Мепивакаин/полокаин (скандонест, скандинибса, мепивастезин)",825 р.,CMD,17.12.2023
150607,"Аллергены лекарств, определение специфических IgE","Артикаин/ультракаин (убистезин, септанест)",825 р.,CMD,17.12.2023
150603,"Аллергены лекарств, определение специфических IgE",Амоксициллин,750 р.,CMD,17.12.2023
150602,"Аллергены лекарств, определение специфических IgE",Пенициллин V,750 р.,CMD,17.12.2023
150601,"Аллергены лекарств, определение специфических IgE",Пенициллин G,750 р.,CMD,17.12.2023
150218,"Аллергены животных, определение специфических IgE",Яд осы бумажной (полиста) Ig E,860 р.,CMD,17.12.2023
150217,"Аллергены животных, определение специфических IgE",Шиншилла (эпителий),860 р.,CMD,17.12.2023
150216,"Аллергены животных, определение специфических IgE",Лошадь (перхоть),860 р.,CMD,17.12.2023
150215,"Аллергены животных, определение специфических IgE",Яд шершня,660 р.,CMD,17.12.2023
150214,"Аллергены животных, определение специфических IgE",Яд осы обыкновенной,660 р.,CMD,17.12.2023
150213,"Аллергены животных, определение специфических IgE",Яд пчелы домашней,660 р.,CMD,17.12.2023
150212,"Аллергены животных, определение специфических IgE",Моль,660 р.,CMD,17.12.2023
150211,"Аллергены животных, определение специфических IgE",Дафния (водяная блоха),860 р.,CMD,17.12.2023
150210,"Аллергены животных, определение специфических IgE",Мотыль (личинка комара-дергунца),860 р.,CMD,17.12.2023
150209,"Аллергены животных, определение специфических IgE",Морская свинка,660 р.,CMD,17.12.2023
150208,"Аллергены животных, определение специфических IgE",Таракан рыжий,660 р.,CMD,17.12.2023
150207,"Аллергены животных, определение специфических IgE",Шерсть верблюда,860 р.,CMD,17.12.2023
150206,"Аллергены животных, определение специфических IgE",Эпителий хомяка,660 р.,CMD,17.12.2023
150205,"Аллергены животных, определение специфических IgE",Оперение попугая,660 р.,CMD,17.12.2023
150204,"Аллергены животных, определение специфических IgE",Оперение канарейки,660 р.,CMD,17.12.2023
150203,"Аллергены животных, определение специфических IgE",Эпителий собачий,660 р.,CMD,17.12.2023
150202,"Аллергены животных, определение специфических IgE",Перхоть собаки,660 р.,CMD,17.12.2023
150201,"Аллергены животных, определение специфических IgE",Эпителий и перхоть кошки,660 р.,CMD,17.12.2023
150385,"Пищевые аллергены, определение специфических IgE",Овомукоид Ig E,825 р.,CMD,17.12.2023
150384,"Пищевые аллергены, определение специфических IgE",Овальбумин Ig E,825 р.,CMD,17.12.2023
150382,"Пищевые аллергены, определение специфических IgE",Капуста кочанная Ig E,860 р.,CMD,17.12.2023
150381,"Пищевые аллергены, определение специфических IgE",Лук Ig E,860 р.,CMD,17.12.2023
150380,"Пищевые аллергены, определение специфических IgE",Чеснок Ig E,860 р.,CMD,17.12.2023
150379,"Пищевые аллергены, определение специфических IgE",Дрожжи пекарские Ig E,860 р.,CMD,17.12.2023
150378,"Пищевые аллергены, определение специфических IgE",Фисташковый орех Ig E,860 р.,CMD,17.12.2023
150377,"Пищевые аллергены, определение специфических IgE",Орех кешью Ig E,860 р.,CMD,17.12.2023
150376,"Пищевые аллергены, определение специфических IgE",Кокосовый орех Ig E,860 р.,CMD,17.12.2023
150374,"Пищевые аллергены, определение специфических IgE",Масло подсолнечное Ig E,860 р.,CMD,17.12.2023
150373,"Пищевые аллергены, определение специфических IgE",Форель Ig E,860 р.,CMD,17.12.2023
150371,"Пищевые аллергены, определение специфических IgE",Мука ячменная Ig E,860 р.,CMD,17.12.2023
150383,"Пищевые аллергены, определение специфических IgE",Казеин Ig E,860 р.,CMD,17.12.2023
150370,"Пищевые аллергены, определение специфических IgE",Чай черный,860 р.,CMD,17.12.2023
150369,"Пищевые аллергены, определение специфических IgE",Кофе,860 р.,CMD,17.12.2023
150368,"Пищевые аллергены, определение специфических IgE",Ваниль,860 р.,CMD,17.12.2023
150367,"Пищевые аллергены, определение специфических IgE",Мак,860 р.,CMD,17.12.2023
150366,"Пищевые аллергены, определение специфических IgE",Сахарная свекла,860 р.,CMD,17.12.2023
150365,"Пищевые аллергены, определение специфических IgE",Груша,860 р.,CMD,17.12.2023
150364,"Пищевые аллергены, определение специфических IgE",Дыня,860 р.,CMD,17.12.2023
150363,"Пищевые аллергены, определение специфических IgE",Лимон,860 р.,CMD,17.12.2023
150362,"Пищевые аллергены, определение специфических IgE",Грейпфрут,860 р.,CMD,17.12.2023
150361,"Пищевые аллергены, определение специфических IgE",Авокадо,860 р.,CMD,17.12.2023
150360,"Пищевые аллергены, определение специфических IgE",Тыква,860 р.,CMD,17.12.2023
150359,"Пищевые аллергены, определение специфических IgE",Петрушка,860 р.,CMD,17.12.2023
150358,"Пищевые аллергены, определение специфических IgE",Кальмар,860 р.,CMD,17.12.2023
150357,"Пищевые аллергены, определение специфических IgE",Хек,860 р.,CMD,17.12.2023
150355,"Пищевые аллергены, определение специфических IgE",Горох,860 р.,CMD,17.12.2023
150354,"Пищевые аллергены, определение специфических IgE",Кукуруза,860 р.,CMD,17.12.2023
150353,"Пищевые аллергены, определение специфических IgE",Гречиха,860 р.,CMD,17.12.2023
150352,"Пищевые аллергены, определение специфических IgE",Рис,860 р.,CMD,17.12.2023
150351,"Пищевые аллергены, определение специфических IgE",Молоко кипяченое (коровье),860 р.,CMD,17.12.2023
150350,"Пищевые аллергены, определение специфических IgE",88 пищевых аллергенов (IgE),23 750 р.,CMD,17.12.2023
150349,"Пищевые аллергены, определение специфических IgE",192 пищевых аллергена (IgE),39 590 р.,CMD,17.12.2023
150346,"Пищевые аллергены, определение специфических IgE",Шоколад (какао),660 р.,CMD,17.12.2023
150345,"Пищевые аллергены, определение специфических IgE",Банан,660 р.,CMD,17.12.2023
150344,"Пищевые аллергены, определение специфических IgE",Персик,660 р.,CMD,17.12.2023
150343,"Пищевые аллергены, определение специфических IgE",Яблоко,660 р.,CMD,17.12.2023
150342,"Пищевые аллергены, определение специфических IgE",Клубника (земляника),660 р.,CMD,17.12.2023
150341,"Пищевые аллергены, определение специфических IgE",Киви,660 р.,CMD,17.12.2023
150340,"Пищевые аллергены, определение специфических IgE",Ананас,660 р.,CMD,17.12.2023
150339,"Пищевые аллергены, определение специфических IgE",Мандарин,860 р.,CMD,17.12.2023
150338,"Пищевые аллергены, определение специфических IgE",Апельсин,660 р.,CMD,17.12.2023
150337,"Пищевые аллергены, определение специфических IgE",Томаты,660 р.,CMD,17.12.2023
150336,"Пищевые аллергены, определение специфических IgE",Картофель,660 р.,CMD,17.12.2023
150335,"Пищевые аллергены, определение специфических IgE",Морковь,660 р.,CMD,17.12.2023
150334,"Пищевые аллергены, определение специфических IgE",Стручковый (сладкий) перец,860 р.,CMD,17.12.2023
150333,"Пищевые аллергены, определение специфических IgE",Кабачок,860 р.,CMD,17.12.2023
150332,"Пищевые аллергены, определение специфических IgE",Сельдерей,660 р.,CMD,17.12.2023
150331,"Пищевые аллергены, определение специфических IgE",Шпинат,660 р.,CMD,17.12.2023
150330,"Пищевые аллергены, определение специфических IgE",Мясо курицы,660 р.,CMD,17.12.2023
150329,"Пищевые аллергены, определение специфических IgE",Мясо гуся,660 р.,CMD,17.12.2023
150328,"Пищевые аллергены, определение специфических IgE",Мясо утки,860 р.,CMD,17.12.2023
150327,"Пищевые аллергены, определение специфических IgE",Индейка,660 р.,CMD,17.12.2023
150326,"Пищевые аллергены, определение специфических IgE",Баранина,660 р.,CMD,17.12.2023
150325,"Пищевые аллергены, определение специфических IgE",Говядина,660 р.,CMD,17.12.2023
150324,"Пищевые аллергены, определение специфических IgE",Свинина,660 р.,CMD,17.12.2023
150323,"Пищевые аллергены, определение специфических IgE",Лосось,660 р.,CMD,17.12.2023
150322,"Пищевые аллергены, определение специфических IgE",Тунец,660 р.,CMD,17.12.2023
150321,"Пищевые аллергены, определение специфических IgE",Синяя мидия,660 р.,CMD,17.12.2023
150320,"Пищевые аллергены, определение специфических IgE",Креветки,660 р.,CMD,17.12.2023
150319,"Пищевые аллергены, определение специфических IgE",Крабы,660 р.,CMD,17.12.2023
150318,"Пищевые аллергены, определение специфических IgE",Треска,660 р.,CMD,17.12.2023
150317,"Пищевые аллергены, определение специфических IgE",Миндаль,660 р.,CMD,17.12.2023
150316,"Пищевые аллергены, определение специфических IgE",Грецкий орех,660 р.,CMD,17.12.2023
150315,"Пищевые аллергены, определение специфических IgE",Фундук,660 р.,CMD,17.12.2023
150314,"Пищевые аллергены, определение специфических IgE",Арахис,660 р.,CMD,17.12.2023
150313,"Пищевые аллергены, определение специфических IgE",Соя,660 р.,CMD,17.12.2023
150312,"Пищевые аллергены, определение специфических IgE",Глютен,660 р.,CMD,17.12.2023
150311,"Пищевые аллергены, определение специфических IgE",Овес,660 р.,CMD,17.12.2023
150310,"Пищевые аллергены, определение специфических IgE",Рожь,660 р.,CMD,17.12.2023
150309,"Пищевые аллергены, определение специфических IgE",Пшеница,660 р.,CMD,17.12.2023
150308,"Пищевые аллергены, определение специфических IgE",Сыр Эдамский,860 р.,CMD,17.12.2023
150307,"Пищевые аллергены, определение специфических IgE",Сыр Чедер,660 р.,CMD,17.12.2023
150306,"Пищевые аллергены, определение специфических IgE",Сыр с плесенью,660 р.,CMD,17.12.2023
150305,"Пищевые аллергены, определение специфических IgE",Швейцарский сыр,860 р.,CMD,17.12.2023
150303,"Пищевые аллергены, определение специфических IgE",Коровье молоко,660 р.,CMD,17.12.2023
150302,"Пищевые аллергены, определение специфических IgE",Яичный желток,660 р.,CMD,17.12.2023
150301,"Пищевые аллергены, определение специфических IgE",Яичный белок,660 р.,CMD,17.12.2023
160004,Определение специфических IgG,88 пищевых аллергенов (lgG4),23 650 р.,CMD,17.12.2023
160003,Определение специфических IgG,192 пищевых аллергена (IgG4),40 690 р.,CMD,17.12.2023
160001,Определение специфических IgG,90 пищевых аллергенов (IgG общий),17 490 р.,CMD,17.12.2023
153051,Молекулярная аллергология,"Аллергочип ALEX 2 (300 аллергокомпонентов и Ig E общий), Ig E",26 250 р.,CMD,17.12.2023
090089,Специфические белки,Прокальцитонин,3 550 р.,CMD,17.12.2023
090083,Специфические белки,Растворимые рецепторы трансферрина (sTfR),1 720 р.,CMD,17.12.2023
090079,Специфические белки,"Про-натрийуретический N-концевой пептид В-типа (N-terminal pro-brain natriuretic peptide, pro-B-type natriuretic peptide)",3 185 р.,CMD,17.12.2023
090072,Специфические белки,Альфа -1 антитрипсин (Alpha1-antitrypsin),2 145 р.,CMD,17.12.2023
090071,Специфические белки,Альфа-1 кислый гликопротеин (орозомукоид) (Alpha1-Acid glycoprotein),2 929 р.,CMD,17.12.2023
090070,Специфические белки,Цистатин С (Cystatin C),2 640 р.,CMD,17.12.2023
090059,Специфические белки,"C-реактивный белок (СРБ, C-Reactive Protein, CRP) - высокочувствительный метод",430 р.,CMD,17.12.2023
090055,Специфические белки,Альфа-2 макроглобулин (alfa-2 Macroglobulin),840 р.,CMD,17.12.2023
090054,Специфические белки,Церулоплазмин (Coeruloplasmin),740 р.,CMD,17.12.2023
090053,Специфические белки,Гаптоглобин (Haptoglobin),890 р.,CMD,17.12.2023
090052,Специфические белки,"Ненасыщенная железосвязывающая способность сыворотки (НЖСС, Unsaturated iron-binding capacity, UIBC)",350 р.,CMD,17.12.2023
090041,Специфические белки,"Антистрептолизин-0 (АСЛ-О, АСЛО, Anti-streptolysin 0)",460 р.,CMD,17.12.2023
090040,Специфические белки,Ревматоидный фактор (Rheumatoid factor),460 р.,CMD,17.12.2023
090032,Специфические белки,Трансферрин (Transferrin saturation),635 р.,CMD,17.12.2023
090031,Специфические белки,Ферритин (Ferritin),720 р.,CMD,17.12.2023
090028,Специфические белки,"Общая железосвязывающая способность сыворотки крови (ОЖСС, Total iron-binding capacity)",375 р.,CMD,17.12.2023
060109,Специфические белки,Гомоцистеин (Homocysteine),1 825 р.,CMD,17.12.2023
090078,Витамины,"Витамин В12, активный (холотранскобаламин) (Vitamin B12 (Holotranscobalamin))",1 710 р.,CMD,17.12.2023
090030,Витамины,Фолиевая кислота (Folic acid),1 010 р.,CMD,17.12.2023
090029,Витамины,"Витамин B12 (цианокобаламин, кобаламин, Vitamin B12, Cobalamin)",915 р.,CMD,17.12.2023
080006,Витамины,"25-OH витамин D (Анализ крови на витамин Д, 25-hydroxyvitamin D, Витамин Д, Vitamin D)",1 650 р.,CMD,17.12.2023
080004,Маркеры остеопороза,"Общий амино-терминальный пропептид проколлагена 1 типа (N-терминальный пропептид проколлагена 1-го типа, P1NP, Total N-terminal propeptide of type 1 collagen)",2 150 р.,CMD,17.12.2023
080003,Маркеры остеопороза,C-телопептиды коллагена I типа (CrossLaps),1 210 р.,CMD,17.12.2023
080001,Маркеры остеопороза,Остеокальцин (Оsteocalcin),1 120 р.,CMD,17.12.2023
090049,Метаболиты,Эритропоэтин (Erythropoietin),1 555 р.,CMD,17.12.2023
090128,Субстраты,"Белок/креатинин в разовой порции мочи, расчет соотношения",259 р.,CMD,17.12.2023
090094,Субстраты,"Скорость клубочковой фильтрации, расчет по формуле CKD-EPI - цистатин C (2012) для лиц старше 18 лет",810 р.,CMD,17.12.2023
090093,Субстраты,"Скорость клубочковой фильтрации, расчет по формуле Шварца-Лиона - креатинин, для детей до 18 лет",355 р.,CMD,17.12.2023
090077,Субстраты,Желчные кислоты,2 670 р.,CMD,17.12.2023
090092,Субстраты,Не-ЛПВП-холестерин,275 р.,CMD,17.12.2023
